""	"Month"	"DayOfWeek"	"TimeOfDay"	"Status"	"NumberOfFlights"
"305"	"Dec"	"Mon"	"Evening"	"Short Delay"	1038
"306"	"Dec"	"Mon"	"Mid-Day"	"Cancelled"	193
"307"	"Dec"	"Mon"	"Mid-Day"	"Long Delay"	1395
"308"	"Dec"	"Mon"	"Mid-Day"	"Medium Delay"	2689
"309"	"Dec"	"Mon"	"Mid-Day"	"On Time"	5730
"310"	"Dec"	"Mon"	"Mid-Day"	"Short Delay"	1308
"311"	"Dec"	"Mon"	"Morning"	"Cancelled"	92
"312"	"Dec"	"Mon"	"Morning"	"Long Delay"	549
"313"	"Dec"	"Mon"	"Morning"	"Medium Delay"	1125
"314"	"Dec"	"Mon"	"Morning"	"On Time"	3061
"315"	"Dec"	"Mon"	"Morning"	"Short Delay"	681
"316"	"Dec"	"Mon"	"Night"	"Cancelled"	17
"317"	"Dec"	"Mon"	"Night"	"Long Delay"	121
"318"	"Dec"	"Mon"	"Night"	"Medium Delay"	193
"319"	"Dec"	"Mon"	"Night"	"On Time"	434
"320"	"Dec"	"Mon"	"Night"	"Short Delay"	92
"321"	"Dec"	"Sat"	"Evening"	"Cancelled"	157
"322"	"Dec"	"Sat"	"Evening"	"Long Delay"	1156
"323"	"Dec"	"Sat"	"Evening"	"Medium Delay"	1696
"324"	"Dec"	"Sat"	"Evening"	"On Time"	4106
"325"	"Dec"	"Sat"	"Evening"	"Short Delay"	770
"326"	"Dec"	"Sat"	"Mid-Day"	"Cancelled"	205
"327"	"Dec"	"Sat"	"Mid-Day"	"Long Delay"	1210
"328"	"Dec"	"Sat"	"Mid-Day"	"Medium Delay"	2353
"329"	"Dec"	"Sat"	"Mid-Day"	"On Time"	5038
"330"	"Dec"	"Sat"	"Mid-Day"	"Short Delay"	1111
"331"	"Dec"	"Sat"	"Morning"	"Cancelled"	95
"332"	"Dec"	"Sat"	"Morning"	"Long Delay"	363
"333"	"Dec"	"Sat"	"Morning"	"Medium Delay"	1023
"334"	"Dec"	"Sat"	"Morning"	"On Time"	2660
"335"	"Dec"	"Sat"	"Morning"	"Short Delay"	588
"336"	"Dec"	"Sat"	"Night"	"Cancelled"	2
"337"	"Dec"	"Sat"	"Night"	"Long Delay"	66
"338"	"Dec"	"Sat"	"Night"	"Medium Delay"	106
"339"	"Dec"	"Sat"	"Night"	"On Time"	300
"340"	"Dec"	"Sat"	"Night"	"Short Delay"	42
"341"	"Dec"	"Sun"	"Evening"	"Cancelled"	191
"342"	"Dec"	"Sun"	"Evening"	"Long Delay"	1582
"343"	"Dec"	"Sun"	"Evening"	"Medium Delay"	2238
"344"	"Dec"	"Sun"	"Evening"	"On Time"	4812
"345"	"Dec"	"Sun"	"Evening"	"Short Delay"	1071
"346"	"Dec"	"Sun"	"Mid-Day"	"Cancelled"	220
"347"	"Dec"	"Sun"	"Mid-Day"	"Long Delay"	1255
"348"	"Dec"	"Sun"	"Mid-Day"	"Medium Delay"	2246
"349"	"Dec"	"Sun"	"Mid-Day"	"On Time"	5682
"350"	"Dec"	"Sun"	"Mid-Day"	"Short Delay"	1129
"351"	"Dec"	"Sun"	"Morning"	"Cancelled"	67
"352"	"Dec"	"Sun"	"Morning"	"Long Delay"	380
"353"	"Dec"	"Sun"	"Morning"	"Medium Delay"	832
"354"	"Dec"	"Sun"	"Morning"	"On Time"	2662
"355"	"Dec"	"Sun"	"Morning"	"Short Delay"	441
"356"	"Dec"	"Sun"	"Night"	"Cancelled"	17
"357"	"Dec"	"Sun"	"Night"	"Long Delay"	136
"358"	"Dec"	"Sun"	"Night"	"Medium Delay"	180
"359"	"Dec"	"Sun"	"Night"	"On Time"	434
"360"	"Dec"	"Sun"	"Night"	"Short Delay"	75
"361"	"Dec"	"Thurs"	"Evening"	"Cancelled"	169
"362"	"Dec"	"Thurs"	"Evening"	"Long Delay"	1640
"363"	"Dec"	"Thurs"	"Evening"	"Medium Delay"	2538
"364"	"Dec"	"Thurs"	"Evening"	"On Time"	4102
"365"	"Dec"	"Thurs"	"Evening"	"Short Delay"	1056
"366"	"Dec"	"Thurs"	"Mid-Day"	"Cancelled"	189
"367"	"Dec"	"Thurs"	"Mid-Day"	"Long Delay"	1217
"368"	"Dec"	"Thurs"	"Mid-Day"	"Medium Delay"	2626
"369"	"Dec"	"Thurs"	"Mid-Day"	"On Time"	5056
